,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,WiSe 23/24-GO-Ringvorlesung,"['Lehrveranstaltungen des Fachbereichs 14 - Biochemie, Chemie und Pharmazie', 'Weitere Studienangebote']","['Fachbereich 14 - Biochemie, Chemie und Pharmazie']","[['Bertulat< Bianca < Dr.', 'verantwortlich']]",[],Ringvorlesung,,WiSe 2023/24,1,1,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=362358&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Klinische Psychopharmakologie,"['Lehrveranstaltungen des Fachbereichs 16 - Medizin', 'Weitere Studienangebote']","['Klinik für Psychiatrie, Psychosomatik und Psychotherapie']",[],"[['Fehr< Christoph< Prof. Dr.', ''], [""Schneider< Barbara< Prof'in. Dr."", ''], ['Tadic< André< Prof. Dr.', '']]",Praktikum (Blockveranstaltung),Lehrangebot,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=366948&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Interdisziplinäre Rechtsmedizin (für Studierende aller FB),"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 16 - Medizin']",['Institut für Rechtsmedizin'],[],"[['Amendt< Jens< Apl. Prof. Dr.', ''], [""Kauferstein< Silke< Prof'in. Dr."", ''], ['Kettner< Mattias< Priv. Doz. Dr.', ''], ['Paulke< Alexander< Priv. Doz. Dr.', ''], ['Tönnes< Stefan< Prof. Dr.', ''], ['Verhoff< Marcel A.< Prof. Dr.', ''], ['Zehner< Richard< Prof. Dr.', '']]",Vorlesung,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=364175&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Theorie und Praxis des Sports mit Älteren,['Weitere Studienangebote'],['Institut für Sportwissenschaften'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=374922&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Sturzprävention im Alter,['Weitere Studienangebote'],['Institut für Sportwissenschaften'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=374920&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Kognition und Sport im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=359769&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,"Diskussionsgruppe ""Die Zukunft unserer Gesellschaft""",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=373606&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Die „Alten“ Europas unter die Lupe genommen – Partizipative Forschung (Projektgruppe),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Projekt,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=366978&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Austausch und Diskussion,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Projekt,,WiSe 2023/24,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=374902&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Der digitale Wandel – technische und gesellschaftliche Entwicklungen  (Projektgruppe Enigma),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hartmann< Renate', '']]",Projekt,,WiSe 2023/24,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=359964&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
