,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,HIIT,['Weitere Studienangebote'],['Zentrum für Hochschulsport (ZfH)'],[],[],Kurs/Workshop,,SoSe 2025,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=407672&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Zwischen Himmel und Hölle. Der Teufelspakt in der mittelalterlichen Literatur (Kooperationsseminar mit der Uni Gießen),"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']","['Institut für deutsche Literatur und ihre Didaktik', 'Hörsaalverwaltung Westend']",[],"[['Chalupa-Albrecht< Anna < Dr. des.', '']]",Seminar (Blockveranstaltung),"GER Q-1.1+2, (neue/alte PO)  LA: L3 – FW 2.3",SoSe 2025,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=397133&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,WortArBEit. Mittelhochdeutsche Begriffe im Fokus (Projektseminar zur WABE-App),"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']","['Institut für deutsche Literatur und ihre Didaktik', 'Hörsaalverwaltung Westend']",[],"[['Chalupa-Albrecht< Anna < Dr. des.', '']]",Seminar (Blockveranstaltung),"GER Q-5.1+2, O-1.1+2+3, (neue/alte PO) LA: L3 – FW 6.1",SoSe 2025,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=398905&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,"Vorlesung zur ""Einführung in die Neuere deutsche Literaturwissenschaft""","['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Lehrveranstaltungen des Fachbereichs 6 - Evangelische Theologie']",['Institut für deutsche Literatur und ihre Didaktik'],[],"[['Drügh< Heinz< Univ.-Prof. Dr.', '']]",Einführungsveranstaltung,"GER B-2.1, (neue PO) L1l – FW 2.1, (neue/alte PO) L2/L5 – FW 2.1, L3 – FW 3.1",SoSe 2025,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=396736&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Von Vögeln- Katzen und Giraffen. Tiere in der Literatur und die Cultural Animal Studies,"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Institut für deutsche Literatur und ihre Didaktik'],[],"[['Borgards< Roland< Univ.-Prof. Dr.', '']]",Seminar,"(neue PO) L1l – FW 4.2, (alte PO) L1 – FW 2.2, (neue/alte PO) L2/L5 – FW 4.2, (neue/alte PO) L3 – FW 3.3, BA – GER Q-2.1+2, BA – GER O-2 (Q-2)",SoSe 2025,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=398700&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Von „Parzival“ zu „Parsifal“: Wolframs Artusroman und Wagners Bühnenweihfestspiel (Praxisbezug),"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Weitere Studienangebote']",['Institut für deutsche Literatur und ihre Didaktik'],[],"[['Runow< Holger< Prof. Dr.', ''], ['Zegowitz< Bernd< Apl. Prof. Dr.', '']]",Seminar,"GER MA-1+2+3+4+5+6, (neue/alte PO) LA: L3 – FW 6.1, 6.2, 7.1, 7.2",SoSe 2025,4,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=396619&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Virtuelle Akademie Nachhaltigkeit - Digitales Lehrangebot,"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 14 - Biochemie, Chemie und Pharmazie', 'Lehrveranstaltungen des Fachbereichs 11 - Geowissenschaften / Geographie']",['Institut für Physische Geographie'],"[['Bothe< Daniel', 'verantwortlich']]",[],E-Learning,Institut für Physische Geographie,SoSe 2025,,3,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=405294&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Universitätserzählungen: Vom Studentenroman zu Dark Academia,"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Weitere Studienangebote']",['Institut für deutsche Literatur und ihre Didaktik'],[],"[['Becher< Christina< Dr.', '']]",Seminar,"(neue/alte PO) L3 – FW 6.2, FW 7.2, BA – GER Q-6, BA – GER O-2 (Q-6), GER MA-2, GER MA-3, GER MA-4, GER MA-5, GER MA-6",SoSe 2025,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=396637&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,"Thomas Manns ""Buddenbrooks"" - Aufstieg und Verfall einer Familie","['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Institut für deutsche Literatur und ihre Didaktik'],[],"[['Zegowitz< Bernd< Apl. Prof. Dr.', '']]",Seminar,"(neue PO) L1l – FW 4.2, (alte PO) L1 – FW 2.2, (neue/alte PO) L2/L5 – FW 4.2, (neue/alte PO) L3 – FW 3.3, BA – GER Q-2.1+2, BA – GER O-2 (Q-2)",SoSe 2025,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=396691&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Theodor Storm- Novellen,"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Institut für deutsche Literatur und ihre Didaktik'],[],"[['Seidel< Robert< Univ.-Prof. Dr.', '']]",Seminar,"(neue PO) L1l – FW 4.2, (alte PO) L1 – FW 2.2, (neue/alte PO) L2/L5 – FW 4.2, (neue/alte PO) L3 – FW 3.3, BA – GER Q-2.1+2, BA – GER O-2 (Q-2)",SoSe 2025,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=396623&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
