,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Was ist Religion? - Methoden- Probleme- Herausforderungen?,"['Lehrveranstaltungen des Fachbereichs 6 - Evangelische Theologie', 'Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Fachbereich 7 - Katholische Theologie'],[],[],Vorlesung,"BA-HF-M9b-Lv3, L1-M5-Lv1, L2-M5-Lv1, L5-M5-Lv1, L3-M7a-Lv1, L3-M7b-Lv1, MA-RK-M1b-Lv3, BA-RW-003, BA-RW-005, MA-RW-020",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=339621&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,THI - On Violence and Power: New Perspectives in the African Church Context - Vorlesung,"['Lehrveranstaltungen des Fachbereichs 6 - Evangelische Theologie', 'Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Fachbereich 7 - Katholische Theologie'],[],"[[""Middelbeck-Varwick< Anja< Prof'in. Dr."", '']]",Vorlesung,"BA-HF-M6-Lv1, BA-NF-M3-Lv5, L2/L5-M5-Lv4, MA-RK-M5-Lv1, MA-RK-M6b, L3-M7a-Lv4, L3-M7b-LV4, BA-RW-006",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=339864&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Religionsbezogene Medien kompetent reflektieren und gestalten,"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie']",['Fachbereich 7 - Katholische Theologie'],[],"[[""Pirker< Viera< Prof'in. Dr."", '']]",Ringvorlesung,MA-RK-M4-Lv3,WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=344298&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Glaube und Vernunft,"['Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Weitere Studienangebote']",['Fachbereich 7 - Katholische Theologie'],[],"[['Schmidt< Thomas  M.< Prof. Dr.', '']]",Vorlesung,"BA-HF-M3a-Lv1, BA-NF-M1-Lv3, L2/L5-M1-Lv4, L3-M1-Lv4, MA-RK-M1b-Lv2",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=344291&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Einleitung in das Neue Testament,"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Fachbereich 7 - Katholische Theologie'],[],"[['Nitsche< Martin < Dr. theol.', '']]",Vorlesung,"BA-HF-M4-Lv3, BA-NF-M2-Lv3, L1-M2-Lv2, L2/L5-M2-Lv3, L3-M2-Lv3",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=345588&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Einführung in die Praktische Theologie und Religionspädagogik,"['Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie']",['Fachbereich 7 - Katholische Theologie'],[],[],Vorlesung,"BA-HF-M5-Lv4, BA-NF-M3-Lv3, L1-M3-Lv2, L2/L5-M3-Lv3, L3-M3-Lv5",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=344277&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Die Frage nach Gott,"['Lehrveranstaltungen des Fachbereichs 8 - Philosophie und Geschichtswissenschaften', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Fachbereich 7 - Katholische Theologie'],[],"[['Schmidt< Thomas  M.< Prof. Dr.', '']]",Vorlesung,"BA-HF-M8-Lv3, BA-NF-M1-Lv4, L2/L5-M5-Lv1, L3-M5-Lv3, MA-RK-M1b-Lv2",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=338895&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Das Wesen des christlichen Glaubens,"['Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Weitere Studienangebote']",['Fachbereich 7 - Katholische Theologie'],[],"[['Wenzel< Knut< Prof. Dr.', '']]",Vorlesung,"BA-HF-M1-Lv4, BA-NF-M1-Lv5, L1-M1-Lv3, L2/L5-M1-Lv5, L3-M1-Lv5, MA-RK-M1a-Lv2, MA-RK-M1b-Lv2",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=338720&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Das christliche Christusbekenntnis,"['Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie']",['Fachbereich 7 - Katholische Theologie'],[],"[['Wenzel< Knut< Prof. Dr.', '']]",Vorlesung,"BA-HF-M8-Lv4, BA-NF-M5-Lv3, L1-M5-Lv2, L2/L5-M5-Lv3, L3-M5-Lv4, MA-RK-M1b-Lv2",WiSe 2022/23,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=344279&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Theorie und Praxis des Sports mit Älteren,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,",",WiSe 2022/23,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=338902&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
