,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
5214,Kindschaftsrecht - mit sozial- und verfahrensrechtlichen Bezügen,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Institut für Zivil- und Wirtschaftsrecht'],[],"[['Salgo< Ludwig< Apl. Prof. Dr.', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=304931&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5215,Internationales Familienrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Institut für Zivil- und Wirtschaftsrecht', 'Westend Veranstaltungen im WS 2020/21']",[],"[['Finger< Peter< Priv. Doz. Dr.', '']]",Seminar,CS-NH,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=304575&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5216,Historische Umbrüche und Kontinuitäten in der Welt der Arbeit,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Collin< Peter< Priv. Doz. Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310321&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5217,Familienrecht und allgemeines Zivilrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[[""Wellenhofer< Marina< Univ.-Prof'in Dr."", '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310307&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5218,European Labour Law,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],[],Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310482&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5219,Einwanderung - Flüchtlingsschutz – Soziale Teilhabe,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Professur für Öffentliches Recht mit Schwerpunkt im Sozialrecht'],[],"[[""Wallrabenstein< Astrid< Univ.-Prof'in Dr."", '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=306221&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5220,Crowd-Worker- Freelancer und Honorarkräfte- Ende des Normalarbeitsverhältnisses? Auswirkungen auf die soziale Sicherung,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Professur für Öffentliches Recht mit Schwerpunkt im Sozialrecht', 'Westend Veranstaltungen im WS 2020/21']",[],"[['Wenner< Ulrich< Hon. Prof. Dr.', '']]",Seminar,CS-NH,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=306539&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5221,Compliance und Arbeitsrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Schmidt< Marlene< Apl. Prof. Dr.', '']]",Seminar,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=308489&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5222,Brennpunkte des Arbeitsrechts,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Waas< Bernd< Univ.-Prof. Dr.', '']]",Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310305&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5223,Beschäftigtendatenschutz,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Wybitul< Tim', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310565&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5224,Aktuelle Fragen des Gesundheits- und Sozialrechts,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],[],Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310598&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5225,Vergaberecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Gabriel< Marc< Hon. Prof. Dr.< LL.M. (NTU UK)', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307948&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5226,Unternehmenssteuerrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Professur für Steuerrecht und Zivilrecht'],[],"[['Lamprecht< Philipp< Univ.-Prof. Dr.', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=306105&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5227,Umweltrecht,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],"['Professur für Öffentliches Recht, Umweltrecht, Informationsrecht und Verwaltungswissenschaften']",[],[],Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=310326&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5228,Staatstheorie,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Vesting< Thomas< Univ.-Prof. Dr.< Dr. h.c.', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307907&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5229,Seminar zur Rechtstheorie- insbesondere zur juristischen Methodenlehre,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Institutsübergreifende Einrichtungen des FB 01'],[],[],Seminar (Blockveranstaltung),,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=315582&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5230,Netzwerkregulierung II,['Lehrveranstaltungen des Fachbereichs 1 - Rechtswissenschaft'],['Fachbereich 1 -  Rechtswissenschaft'],[],"[['Vesting< Thomas< Univ.-Prof. Dr.< Dr. h.c.', '']]",Kolloquium,,WiSe 2020/21,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307906&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
