,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Zwischen Natur und Gesellschaft. Einführung in die Geschlechterforschung,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Prömper< Hans< Dr.', '']]",Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277009&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Wo kann uns die Pharmazeutische Chemie nützlich sein?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277080&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Wie und wodurch macht uns die Umwelt krank?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277609&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Wie Männer mit Lebenskrisen und ihrem Altern umgehen (können). Forschungsseminar,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Prömper< Hans< Dr.', '']]",Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=276982&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Wasser- Wüste- Berg und Baum: Natur als spiritueller Erfahrungsort in Überlieferung und Selbstverständnis der Weltreligionen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277023&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,„Von Natur aus anders“. Zur Psychologie der Geschlechtsunterschiede,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wehrs< Elke< Dr.', '']]",Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277173&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Soziologische Aspekte zum Verhältnis Mensch und Natur - Einführung,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Baier< Ulrich < M. A.', '']]",Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277282&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Schöpfung in der Bibel,"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 7 - Katholische Theologie']",['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277024&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Philosophie des Geistes,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=277210&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Naturgeister in Literatur- Bildender Kunst und musikalischer Umsetzung,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,WiSe 2019/20,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=275952&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
