,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Zu den Audioguides,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2021,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328769&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Wie finde ich Literatur zum Fach...??,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2021,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328768&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Virtuelle Fachbibliothek,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2021,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328767&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Einstieg in die Recherche,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2021,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328766&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Datenbanken,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2021,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328765&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Zur Soziologie des Fremden im Kontext der Moderne,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hohm< Hans-Jürgen< Prof. Dr.', '']]",Vorlesung,,SoSe 2021,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=312282&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Verriss einer „Textnatur“? Intertextuelle Kapriolen als anregende Rezeptionsgeschichte(n),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,SoSe 2021,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=312336&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Verletzlichkeit und Reife. Die Herausforderung der Vergänglichkeit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Prömper< Hans< Dr.', '']]",Seminar,,SoSe 2021,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=312368&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Unsere Sinne Riechen und Hören – soziologische Reflexionen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Baier< Ulrich < M. A.', '']]",Seminar,,SoSe 2021,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=312342&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Natürlicher „Glaubenssinn“ und Subjektwerdung – eine Herausforderung für Theologie und Kirche,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,SoSe 2021,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=312367&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
