,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Zwei Meilen teilen,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Sonstige Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=309882&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Zumba Corona Special via Internet mit Zoom,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Kurs/Workshop,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307675&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Zu den Audioguides,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=296474&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Wie finde ich Literatur zum Fach...??,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=296473&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Virtuelle Fachbibliothek,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=296472&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Spanisch-Kurse der ESG mit Dr. Victor Rodriguez im Online-Format,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Kurs/Workshop,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307699&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Sommerkonzerte 2020 der Evangelischen Studierendengemeinde (ESG): GITARREN-DUO TARACEA als ONLINE-STREAM,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Öffentliche Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307964&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Schachworkshop der ESG mit Philipp Scholz,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Kurs/Workshop,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307700&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Nachtgedanken - Ökumenische Andacht der ESG & KHG im Online-Format,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Sonstige Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307701&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Harfenkonzert mit Maja Dvoracek als ONLINE-STREAM,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Öffentliche Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307674&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
10,HalbEins - die Andacht am Mittwoch zum Runterladen,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Sonstige Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307704&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
11,Fenster zum Hof voll Harfe am Mittwoch- 24.06.2020- 19:30 Uhr,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Öffentliche Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=309871&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
12,Englischkurse der ESG mit Yara Barros im Online-Format,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Kurs/Workshop,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307694&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
13,Einstieg in die Recherche,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=296471&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
14,Datenbanken,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=296470&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
15,Arabisch-Kurs für Fortgeschrittene der ESG mit Mohamed Eldakhakhny im Online-Format,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Kurs/Workshop,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=307692&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
16,25.06.- 19:30 Uhr: ONLINE-KONZERT - VIOLONCELLO & KLAVIER im ONLINE-STREAM,['Weitere Studienangebote'],['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Öffentliche Veranstaltung,,SoSe 2020,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=309904&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
17,Zwischen Natur und Gesellschaft. Einführung in der Geschlechterforschung. Teil 2. Aktuelle Handlungsfelder,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Prömper< Hans< Dr.', '']]",Seminar,,SoSe 2020,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=290241&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
