,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,"Wissenschaftliches Arbeiten im APA-Stil - Sauber zitieren, Plagiate vermeiden",['Weitere Studienangebote'],['Methodenzentrum Sozialwissenschaften'],[],[],Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=400649&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Qualitative Inhaltsanalyse mit MAXQDA 24 (und KI),['Weitere Studienangebote'],"['Methodenzentrum Sozialwissenschaften', 'Hörsaalverwaltung Westend']",[],"[['Schastak< Martin< Dr.', '']]",Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=400941&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Projektseminar zum interdisziplinären Zertifikat Nachhaltigkeit,['Weitere Studienangebote'],"['Institut für Humangeographie', 'Hörsaalverwaltung Westend']",[],"[['Bothe< Daniel', ''], [""Schlottmann< Antje< Prof'in. Dr."", '']]",Projekt,,WiSe 2024/25,2,6,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=390693&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Netzwerkanalyse für psychologische Fragestellungen,['Weitere Studienangebote'],['Methodenzentrum Sozialwissenschaften'],[],"[['Kvetnaya< Tatiana < M.Sc.', '']]",Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=400944&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Klinische Psychopharmakologie,"['Lehrveranstaltungen des Fachbereichs 16 - Medizin', 'Weitere Studienangebote']","['Klinik für Psychiatrie, Psychosomatik und Psychotherapie']",[],"[['Fehr< Christoph< Prof. Dr.', ''], [""Schneider< Barbara< Prof'in. Dr."", ''], ['Tadic< André< Prof. Dr.', '']]",Praktikum (Blockveranstaltung),Lehrangebot,WiSe 2024/25,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=385401&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Interdisziplinäre Rechtsmedizin (für Studierende aller FB),"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 16 - Medizin', 'Lehrveranstaltungen des Fachbereichs 14 - Biochemie, Chemie und Pharmazie']",['Institut für Rechtsmedizin'],[],"[['Amendt< Jens< Apl. Prof. Dr.', ''], [""Kauferstein< Silke< Prof'in. Dr."", ''], ['Kettner< Mattias< Priv. Doz. Dr.', ''], ['Paulke< Alexander< Priv. Doz. Dr.', ''], ['Tönnes< Stefan< Prof. Dr.', ''], ['Verhoff< Marcel A.< Prof. Dr.', ''], ['Zehner< Richard< Prof. Dr.', '']]",Vorlesung,,WiSe 2024/25,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=385256&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Feldforschung verstehen: Qualitative Interviews und Beobachtungen in Theorie und Praxis,['Weitere Studienangebote'],['Methodenzentrum Sozialwissenschaften'],[],[],Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=400945&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Empirische Sozialforschung für (absolute) Beginner,['Weitere Studienangebote'],['Methodenzentrum Sozialwissenschaften'],[],[],Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=400943&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Einführung in R,['Weitere Studienangebote'],"['Methodenzentrum Sozialwissenschaften', 'Hörsaalverwaltung Westend']",[],"[['Heise< Patricia', '']]",Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=401261&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Einführung in die statistische Datenanalyse mit Stata,['Weitere Studienangebote'],['Methodenzentrum Sozialwissenschaften'],[],[],Kurs/Workshop,,WiSe 2024/25,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=401087&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
