,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
17,Kann man Kommunikation lernen? Bausteine in Theorie und Praxis,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Stieß-Westermann< Angelika< Dr.', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371728&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
18,Autobiografisches Schreiben (II),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Fichtenkamm-Barde< Rosmarie', '']]",Projekt,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371843&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
19,Gedächtnistraining – Merktechniken – Lernmethoden,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Müller< Helmut-Gerhard', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371827&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
20,Grundlegende Suchtechniken und Literaturrecherche im Internet,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hartmann< Renate', ''], ['Weimann< Hans-Joachim', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371826&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
21,OLAT einfach erklärt,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hartmann< Renate', ''], ['Wagner< Elisabeth< Dr.', '']]",Sonstige Veranstaltung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371830&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
22,Organveränderungen im Lebensverlauf,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371801&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
23,Medikamente als Hilfsmittel,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reetz< Klaus-Peter< Dr. Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371794&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
24,"Wurzel, Stängel, Blatt und Blüte, eine pflanzenanatomische Betrachtung im Überblick",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Winter (FB 15)< Christian< Prof. Dr.', '']]",Übung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371804&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
25,Moderne Evolutionsbiologie – was lehrt sie uns?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Streit< Bruno< Prof. Dr.', '']]",Vorlesung mit Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371858&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
26,Flora Incognita: Ein Traktat gegen die Pflanzenblindheit,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[[""Meier< Iris< Prof'in."", '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=372228&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
27,Tutorium für Naturwissenschaften: Biologie und Chemie,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Reinhardt< Ellen', '']]",Tutorium,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371852&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
28,Chemiegeschichte(n) – Fortschritte einer Wissenschaft im Spiegel der Nobelpreise,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schwab< Gabriele< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371783&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
29,"Chemiegeschichte(n) – Elemente, die Bausteine unserer Welt",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schwab< Gabriele< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371781&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
30,Wer hat Angst vor Mathematik?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Ziegler< Alfred< Prof. Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371787&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
31,Entwicklung des Weltbildes der Physik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Maruhn< Joachim A.< Prof. Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=372237&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
32,"Digitalisierung, Grundlagen und Nutzung",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Engemann< Detlef< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371859&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
33,Warum Märchen? Zur Geschichte eines literarischen Genres,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Fink< Adolf< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371750&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
34,Stefan George: „Das Neue Reich“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Amos< Thomas< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371715&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
35,Ontologie und Ethik in Erzählungen aus dem subsaharischen Afrika,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Seiler-Dietrich< Almut< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371738&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
36,"Neue Bücher, alte Fragen",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Fink< Adolf< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371731&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
37,Miguel de Cervantes: Exemplarische Novellen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Garcia Simon< Diana< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371799&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
38,Literatur der Republik. Deutschsprachige Erzählungen 1918-1933,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Amos< Thomas< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371726&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
39,Literary Portraits of Religion and Personality Disorders,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Andrijasevic< Janko< Prof. Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=376550&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
40,"Faszination Nordsee. Eine fächerübergreifende Betrachtung von Literatur, Bildender Kunst und Musik",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371742&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
41,Don Quijote. Dialektische Lesarten eines großen Romans,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['von Kalnein< Albrecht< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371457&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
42,"Deutsche Italienbilder. Reiseliteratur, Dichtung und Wissenschaft",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schwidtal< Michael< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371710&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
43,Der Science-Fiction-Film – Zukunft beginnt im Kino,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Mispagel< Nathalie< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371734&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
44,Cesare Pavese: Die Turiner Romane,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Garcia Simon< Diana< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371743&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
45,Berühmte Stücke und Inszenierungen der Moderne,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hennies< Astrid', '']]",Vorlesung mit Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371668&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
46,Flanieren durch den Märchenwald – literarisch-kulturelle Erkundungen der besonderen Beziehung zwischen Wald und Mensch,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wehrs< Elke< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371735&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
47,Goethe und die Musik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bartel< Helmut< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371786&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
48,Wort und Ton – musikphilosophische Aspekte,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Abels< Norbert< Prof. Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371779&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
49,Vortrag zum Architekten Richard Meier,['Weitere Studienangebote'],"['Universität des 3. Lebensalters e.V. (U3L)', 'Hörsaalverwaltung Bockenheim']",[],[],Vortrag/Vortragsreihe/Gastvortrag,,SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=386532&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
50,Von Kröten und Trichtern – Hieronymus Bosch und die Folgen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schmied-Hartmann< Petra< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371704&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
51,Venezianische Malerei des 16. Jahrhunderts,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Scherb< Johanna< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371730&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
52,Seminarreihe: Die Pioniere und Pionierinnen der Fotografie: Von den Anfängen bis zum Bauhaus,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=383478&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
53,Schönheit als ästhetischer Diskurs zwischen Ideal und Konsum,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bußmann< Kerstin< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371752&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
54,Portugiesische Kunst zwischen „Modernismo“ und „Presença“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schmied-Hartmann< Petra< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371770&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
55,"Kartografie, Kartografische Systeme: Subtext und ikonografische Bedeutung",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hildebrand-Schat< Viola< Apl. Prof. Dr.', ''], ['Scherb< Johanna< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371745&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
56,Kann bildende Kunst die Welt verändern? Zeitgenössische KünstlerInnen zwischen Aktivismus und Elfenbeinturm,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Sterna< Thomas', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371820&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
57,Impressionismus und Jugendstil in Frankreich und Belgien,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wehner< Dieter Tino< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371737&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
58,Flower Power! Blumen als Motiv und Symbol in bildender Kunst und Film,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bußmann< Kerstin< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371703&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
59,Druckgraphik 1400 bis 1800,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Sonnabend< Martin< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=375765&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
60,Die Welt des Odysseus in Bildern erzählt,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hodske< Jürgen< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371606&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
61,China in Photographien von 1860 bis zur Gegenwart,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Simon< Rainald< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371778&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
62,(Entfällt!) Epikureische Weltanschauung im Lehrgedicht des Lukrez (Teil II),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Vorlesung mit Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371857&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
63,Einführender Überblick über die Literatur der römischen Klassik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Jacoby< Norbert< Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=377152&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
64,Vom Faustkeil zum Wolkenkratzer – Frankfurt im Laufe der Jahrtausende,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Füllgrabe< Jörg< Dr.', '']]",Seminar,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371762&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
65,Quellen der Archäologie,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Becker< Mario < M. A.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371776&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
