,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Interdisziplinäre Rechtsmedizin (für Studierende aller FB),"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 16 - Medizin']",['Institut für Rechtsmedizin'],[],"[['Amendt< Jens< Apl. Prof. Dr.', ''], [""Kauferstein< Silke< Prof'in. Dr."", ''], ['Kettner< Mattias< Priv. Doz. Dr.', ''], ['Paulke< Alexander< Priv. Doz. Dr.', ''], ['Tönnes< Stefan< Prof. Dr.', ''], ['Verhoff< Marcel A.< Prof. Dr.', ''], ['Zehner< Richard< Prof. Dr.', '']]",Vorlesung,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=374739&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,"Analysis 1, Übungen","['Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Lehrveranstaltungen des Fachbereichs 12 - Informatik und Mathematik']",['Algebra und Geometrie'],"[['Werner< Annette< Prof. Dr.', 'verantwortlich']]",[],Übung,"BaM-AN1, L3M-AN1, M3-AN1",SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=379791&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Analysis 1,"['Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)', 'Lehrveranstaltungen des Fachbereichs 12 - Informatik und Mathematik']",['Algebra und Geometrie'],"[['Werner< Annette< Prof. Dr.', 'verantwortlich']]",[],Vorlesung,"BaM-AN1, L3M-AN1, M3-AN1",SoSe 2024,4,9,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371862&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Studiengalerie 1.357. Zur künstlerischen Auseinandersetzungen mit Rechtsextremismus,"['Lehrveranstaltungen des Fachbereichs 10 - Neuere Philologien', 'Lehrveranstaltungen des Fachbereichs 8 - Philosophie und Geschichtswissenschaften', 'Lehrveranstaltungen des Fachbereichs 9 - Sprach- und Kulturwissenschaften', 'Weitere Studienangebote', 'Lehrveranstaltungen für Lehramtsstudiengänge (Modulstruktur)']",['Seminar für Judaistik'],[],"[['Jussen< Bernhard< Prof. Dr.', ''], [""Wenzel< Mirjam< Prof'in. Dr."", '']]",Seminar,"Ju-B 8.2 , Ju-Hist 3.2, Ju-Hist 9/10",SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371627&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Mittwochskonferenz,['Weitere Studienangebote'],['Forschungszentrum Historische Geisteswissenschaften (FHG)'],[],[],Einzeltermin,,SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=379748&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Booktalk,['Weitere Studienangebote'],"['Forschungszentrum Historische Geisteswissenschaften (FHG)', 'Hörsaalverwaltung Westend']",[],[],Einzeltermin,,SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=380632&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Theorie und Praxis des Sports mit Älteren,['Weitere Studienangebote'],['Institut für Sportwissenschaften'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384335&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Sturzprävention im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['keine öffentliche Person', '']]",Kurs/Workshop,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371700&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Kognition und Sport im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bello< Fabio', '']]",Kurs/Workshop,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=378042&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Projektgruppe „Zukunft unserer Gesellschaft“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Projekt,,SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=380017&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
10,Im Fokus: die Alten Europas. Spurensuche im Dialog,['Weitere Studienangebote'],"['Universität des 3. Lebensalters e.V. (U3L)', 'Hörsaalverwaltung Bockenheim']",[],[],Projekt,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371848&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
11,Eine nachhaltige Weltgemeinschaft? Vision und Aufgabe zugleich,['Weitere Studienangebote'],"['Universität des 3. Lebensalters e.V. (U3L)', 'Hörsaalverwaltung Bockenheim']",[],"[['Wagner< Elisabeth< Dr.', '']]",Projekt,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=376895&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
12,„Austausch und Diskussion“ – eine selbstorganisierte Gruppe von Studierenden an der U3L,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Projekt,,SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=380018&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
13,Der digitale Wandel – technische und gesellschaftliche Entwicklungen (Projektgruppe Enigma),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hartmann< Renate', '']]",Projekt,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371851&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
14,Projektgruppe „Debattieren an der U3L“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371824&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
15,Videokonferenzen einfach erklärt,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wagner< Elisabeth< Dr.', '']]",Anleitung zum wiss. Arbeiten,,SoSe 2024,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=378185&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
16,Sprachliche Kreativität methodisch entwickeln,['Weitere Studienangebote'],"['Universität des 3. Lebensalters e.V. (U3L)', 'Hörsaalverwaltung Bockenheim']",[],"[['Messer< Mechthild', '']]",Projekt,,SoSe 2024,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=371833&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
