,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Interdisziplinäre Rechtsmedizin (für Studierende aller FB),"['Lehrveranstaltungen des Fachbereichs 16 - Medizin', 'Weitere Studienangebote']",['Institut für Rechtsmedizin'],[],"[['Amendt< Jens< Apl. Prof. Dr.', ''], [""Kauferstein< Silke< Prof'in. Dr."", ''], ['Kettner< Mattias< Priv. Doz. Dr.', ''], ['Paulke< Alexander< Priv. Doz. Dr.', ''], ['Tönnes< Stefan< Prof. Dr.', ''], ['Verhoff< Marcel A.< Prof. Dr.', ''], ['Zehner< Richard< Prof. Dr.', '']]",Vorlesung,,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=359203&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,"3D-Druckworkshop der ""UnkaputtBar""","['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 14 - Biochemie, Chemie und Pharmazie']","['Fachbereich 14 - Biochemie, Chemie und Pharmazie']","[['Bertulat< Bianca < Dr.', 'verantwortlich'], ['Böhmer< Maik< Prof. Dr.', 'verantwortlich']]",[],Kurs/Workshop,,SoSe 2023,,1,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=369971&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Theorie und Praxis des Sports mit Älteren,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349748&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Sturzprävention im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349749&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Kognition und Sport im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349750&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Projektgruppe Enigma: Der digitale Wandel – Technische und gesellschaftliche Entwicklungen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Hartmann< Renate', '']]",Arbeitsgemeinschaft,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349907&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,"Projektgruppe ""Debattieren an der U3L""",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349917&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Planetare Grenzen – Orientierungen für eine nachhaltige Gesellschaft,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wagner< Elisabeth< Dr.', '']]",Projekt,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=355741&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Mein Leben schreiben: Kindheit und Schlüsselereignisse,['Weitere Studienangebote'],"['Universität des 3. Lebensalters e.V. (U3L)', 'Hörsaalverwaltung Bockenheim']",[],"[['Messer< Mechthild', '']]",Seminar,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=351471&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,"Diskussionsgruppe ""Die Zukunft unserer Gesellschaft""",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349914&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
10,Die „Alten“ Europas unter die Lupe genommen – Partizipative Forschung,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349901&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
11,Autobiografisches Schreiben (II),['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Fichtenkamm-Barde< Rosmarie', '']]",Projekt,.,SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=352019&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
12,Wissenschaftliches Arbeiten: Grundlagen und weiterbringende Methoden,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Müller< Helmut-Gerhard', '']]",Anleitung zum wiss. Arbeiten,",",SoSe 2023,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=349895&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
