,Person,Institut
614,Pasch < Hans-Joachim <  < ,Professuren außerhalb von Abteilungen
615,Paton < Gordana <  < B.A.,Wirtschaftssprachen
616,Paulus < Hartmut <  < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
617,Puckler < Godehard < Dr. < ,Professuren außerhalb von Abteilungen
618,Pung < Caroline <  < B.A.,Wirtschaftssprachen
619,Radermacher < Jan Wedigo < Dr. < ,Abteilung Finanzen (FI)
620,Reck < Martin < Hon. Prof. Dr. < ,Abteilung Finanzen (FI)
621,Rehm < Helmut < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
622,Reich < Jens < Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
623,Reichenbach < Martin < Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
624,Reisner-Senelar < Bertrand <  < ,Wirtschaftssprachen
625,Riedmann-Streitz < Christine <  < ,Abteilung Management und Mikroökonomie (MM)
626,Rottner < Elisa <  < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
627,Ruprecht < Benedikt < Dr. < ,Abteilung Finanzen (FI)
628,Sauré < Philip < Dr. < Prof.,Graduiertenkollegs
629,Schäfer < Sebastian < Dr. < ,Abteilung Finanzen (FI)
630,Schank < Thorsten < Prof. Dr. < ,Abteilung Geld und Währung (GW)
631,Schaper < Torsten < Dr. < ,Bitte manuell einfügen
632,Schenk < Catherine R. <  < Prof.,Bitte manuell einfügen
633,Scheubel < Beatrice < Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
634,Schikora < Jan < Dr. < ,Professuren außerhalb von Abteilungen
635,Schlegler < Maren < Dr. < ,Professuren außerhalb von Abteilungen
636,Schmidberger < Martin < Hon. Prof. Dr. < ,Abteilung Marketing (MA)
637,Schmitz < Stefanie < Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
638,Schmuck < Robert < Dr. < ,Professuren außerhalb von Abteilungen
639,Schnebel < Eberhard < Dr. < ,Abteilung Finanzen (FI)
640,Schnorpfeil < Philip < Dr. < ,Abteilung Finanzen (FI)
641,Schunk < Daniel < Prof. Dr. < ,Bitte manuell einfügen
642,Schüwer < Ulrich < Dr. < ,Abteilung Finanzen (FI)
643,Schwartz < Christian < Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
644,Schwartzkopff < Ivo < Dr. < ,Abteilung Management und Mikroökonomie (MM)
645,Sessar < Christopher < Dr. < ,Bitte manuell einfügen
646,Siering < Michael < Dr. < M.Sc.,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
647,Spiess < Katharina <  < Professor,Graduiertenkollegs
648,Stracca < Livio <  < Ph.D.,Abteilung Geld und Währung (GW)
649,Süß < Philipp < Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
650,Thevenin < Marie <  < MBA,Wirtschaftssprachen
651,Thimann < Christian < Hon. Prof. Dr. < ,Abteilung Finanzen (FI)
652,Thorhauer < Yvonne < Prof'in. Dr. < ,Wirtschaftsethik
653,Trischler < Anke <  < ,Professuren außerhalb von Abteilungen
654,Trummer < Harry W. < Dr. < ,Alumnivereinigungen
655,van den Brink < Gerrit < Dr. < ,Abteilung Finanzen (FI)
656,von Rabenau < Kurt < Dr. < ,Bitte manuell einfügen
657,von Schenk < Alicia < Dr. < ,Abteilung Management und Mikroökonomie (MM)
658,von Thadden < Leopold < Dr. < ,Bitte manuell einfügen
659,Wälde < Klaus < Prof. < Dr.,Graduiertenkollegs
660,Weidner < Jan <  < ,Abteilung Finanzen (FI)
661,Weiser < Constantin < Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
662,White < Eugene N. < Prof. < ,House of Finance (HoF)
663,Wilson < Thomas C. <  < Ph.D.,Abteilung Finanzen (FI)
664,Wolf < Annika < Prof'in. Dr. < ,Abteilung Management und Mikroökonomie (MM)
665,Wong < Guojun <  < ,Wirtschaftssprachen
666,Yamauchi < Makiko <  < ,Wirtschaftssprachen
667,Yaron < Amir < Prof. < PhD,Bitte manuell einfügen
668,Yuan < Huizhu <  < Dipl.-Übers.,Wirtschaftssprachen
669,Zeitler < Nicholas < Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
670,Zenga < Giselle <  < Dr.,Wirtschaftssprachen
671,Zeuner < Jörg < Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
672,Zicke < Julia < Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
673,Ziebarth < Gerhard <  < ,Abteilung Geld und Währung (GW)
674,Zieschang < Matthias < Hon. Prof. Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
675,Arfaoui < Jihene <  < ,Abteilung Geld und Währung (GW)
676,Chen < Xiaoting (Jasmine) <  < ,LOEWE-Zentren und LOEWE-Schwerpunkte
677,Eichengreen < Barry < Prof. < Ph.D.,Graduiertenkollegs
678,Bal < Gökhan < Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
679,Fohlin < Caroline < Prof'in. < Ph.D.,Graduiertenkollegs
680,Nieraad < Christine <  < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
681,Stein < Beate <  < M.A.,Institut für Philosophie
682,Velte < Franziska <  < ,Bitte manuell einfügen
683,Wacker < Konstantin < Jun. Prof. Dr. < ,Graduiertenkollegs
684,Wais < Corinna <  < ,Abteilung Finanzen (FI)
685,Caspari < Volker < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
686,Niegemann < Helmut < Prof. Dr. < ,Professuren außerhalb von Abteilungen
687,Schefold < Bertram < Prof. Dr. < Dr. Dres. h.c.,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
688,Schmidt < Reinhard H. < Prof. Dr. < ,Abteilung Rechnungswesen und Nachhaltigkeitsberichterstattung
689,Beck < Günter <  < Prof. Dr.,Abteilung Finanzen (FI)
690,Bierbaum < Jürgen < Dr. < ,Abteilung Finanzen (FI)
691,Blesse < Sebastian <  < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
692,Bonowski < Tim < Dr. < ,Professuren außerhalb von Abteilungen
693,Bushyla < Katharina <  < M.Sc.,Professuren außerhalb von Abteilungen
694,De Blas Perez < Beatriz Maria < Prof'in. < Dr.,Abteilung Geld und Währung (GW)
695,Dehmamy < Keyvan < Dr. < ,Abteilung Marketing (MA)
696,Dimitriadis < Timo < Jun. Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
697,Dräger < Lena < Prof'in. < Dr.,Graduiertenkollegs
698,Fornauf < Irina <  < ,Professuren außerhalb von Abteilungen
699,Gönsch < Johannes < Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
700,Heeb < Florian < Prof. Dr. < ,LOEWE-Zentren und LOEWE-Schwerpunkte
701,Heider < Florian < Prof. Dr. < ,LOEWE-Zentren und LOEWE-Schwerpunkte
702,Hilger < Nikolas <  < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
703,Laso Pazos < Jesús <  < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
704,Liebler < Daniel < Dr. < ,Abteilung Finanzen (FI)
705,Schmeling < Maik < Prof. Dr. < ,Abteilung Finanzen (FI)
706,Sztachera < Maciej <  < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
707,Velte < Franziska Dorothea <  < ,Interdisziplinäres Zentrum für Ostasienstudien (IZO)
708,Winkelmann < Jan <  < ,Abteilung Finanzen (FI)
709,Worring < Daniel <  < ,Abteilung Finanzen (FI)
710,Apitzsch < Ursula < Univ.-Prof'in Dr. < ,Institut für Soziologie
711,Becker < Birgit < Prof'in. Dr. < ,Institut für Soziologie
712,Borchert < Jens < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
713,Brandl < Barbara < Prof'in. Dr. < ,Institut für Soziologie
714,Butollo < Florian < Prof. Dr. < ,Institut für Soziologie
715,Daase < Christopher < Univ.-Prof. Dr. < ,Exzellenzcluster
716,Deitelhoff < Nicole < Univ.-Prof'in Dr. < ,Exzellenzcluster
717,Ebner < Alexander < Univ.-Prof. Dr. < ,Institut für Soziologie
718,Eversberg < Dennis < Prof. Dr. < ,Institut für Soziologie
719,Forst < Rainer < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
720,Gangl < Markus < Univ.-Prof. Dr. < ,Institut für Soziologie
721,Garritzmann < Julian < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
722,Geißel < Brigitte < Univ.-Prof'in Dr. < ,Institut für Politikwissenschaft
723,Grunow < Daniela < Univ.-Prof'in Dr. < ,Institut für Soziologie
724,Haubl < Rolf < Prof. Dr. Dr. < ,Institut für Soziologie
725,Hellmann < Gunther < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
726,Hofmeister < Heather < Prof'in. < Ph.D.,Institut für Soziologie
727,Holbig < Heike < Univ.-Prof'in Dr. < ,Interdisziplinäres Zentrum für Ostasienstudien (IZO)
728,King < Vera < Prof'in. Dr. < ,Institut für Soziologie
729,Kosnick < Kira < Univ.-Prof'in Dr. < ,Institut für Soziologie
730,Lemke < Thomas < Univ.-Prof. Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
731,Lessenich < Stephan < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
732,Maaz < Kai < Univ.-Prof. Dr. < ,Institut für Soziologie
733,Mans < Dieter < Prof. Dr. Dr. < ,Institut für Soziologie
734,Moellendorf < Darrel < Univ.-Prof. Dr. < ,Institut für Philosophie
735,Nölke < Andreas < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
736,Oberle < Monika < Univ.-Prof'in Dr. < ,Institut für Politikwissenschaft
737,Roßteutscher < Sigrid < Univ.-Prof'in Dr. < ,Institut für Soziologie
738,Ruhe < Constantin < Prof. Dr. < ,Institut für Politikwissenschaft
739,Ruppert < Uta < Univ.-Prof'in Dr. < ,Institut für Politikwissenschaft
740,Scheffer < Thomas < Prof. Dr. < ,Institut für Soziologie
741,Schmidt-Catran < Alexander < Univ.-Prof. Dr. < ,Dekanat FB 03
742,Schweitzer < Doris < Prof'in. Dr. < ,Institut für Soziologie
743,Seubert < Sandra < Univ.-Prof'in Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
744,Speck < Sarah < Univ.-Prof'in Dr. < ,Institut für Soziologie
745,Sutterlüty < Ferdinand < Prof. Dr. < ,Institut für Soziologie
746,Wagemann < Claudius < Prof. Dr. < ,Institut für Politikwissenschaft
747,Wagner < Gerhard < Univ.-Prof. Dr. < ,Institut für Soziologie
748,Wagner < Greta < Prof'in. Dr. < ,Institut für Soziologie
749,Wille < Tobias < Prof. Dr. < ,Institut für Politikwissenschaft
750,Wolf < Reinhard < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
751,Wolff < Jonas < Prof. Dr. < ,Institut für Politikwissenschaft
752,Zimmermann < Lisbeth < Prof'in. Dr. < ,Institut für Politikwissenschaft
753,Zittel < Thomas < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
754,Schneider < Flurina < Prof'in. Dr. < ,"Institut für Ökologie, Evolution und Diversität"
755,Amelina < Anna < Jun. Prof. Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
756,Bauer < Susanne < Jun. Prof. Dr. < ,Bitte manuell einfügen
757,Dobbins < Michael < Jun. Prof. Dr. < ,Bitte manuell einfügen
758,Eckert < Sandra < Jun. Prof. Dr. < ,Bitte manuell einfügen
759,Langer < Phil C < Jun. Prof. Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
760,Thiemann < Matthias < Jun. Prof. Dr. < ,Bitte manuell einfügen
761,Traunmüller < Richard < Jun. Prof. Dr. < ,Bitte manuell einfügen
762,Altenburger < Sven < Dr. < ,Institut für Politikwissenschaft
763,Caglar < Gülay < Dr. < ,Bitte manuell einfügen
764,Damelang < Andreas < Dr. < ,Institut für Soziologie
765,Deindl < Christian < Dr. habil. < ,Institut für Soziologie
766,Driedger < Jonas J. < Dr. < ,Institut für Politikwissenschaft
767,Eberl < Oliver < Dr. < ,Institut für Politikwissenschaft
768,Ecker-Ehrhardt < Matthias <  < ,Institut für Politikwissenschaft
769,Ferretti < Maria Paola < Dr. < ,Institut für Politikwissenschaft
770,Franz < Benedikt <  < ,Institut für Politikwissenschaft
771,Jung < Matthias < Priv. Doz. Dr. < ,Institut für Soziologie
772,Kühhirt < Michael < Dr. < ,Institut für Soziologie
773,Laufenberg < Mike < Dr. < ,Institut für Soziologie
774,Patzina < Alexander < Dr. < ,Institut für Soziologie
775,Petermann < Sören < Dr. < ,Bitte manuell einfügen
776,Ruth-Lovell < Saskia < Dr. < ,Institut für Politikwissenschaft
777,Schindler < Sebastian < Dr. < ,Institut für Politikwissenschaft
778,Schink < Philipp < Dr. < ,Institut für Politikwissenschaft
779, <  <  < ,Bitte manuell einfügen
780,Allerbeck < Klaus < Univ.-Prof. Dr. < ,Institut für Soziologie
781,Blättel-Mink < Birgit < Univ.-Prof'in Dr. < ,Institut für Soziologie
782, <  <  < ,Bitte manuell einfügen
783,Brock < Lothar < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
784,Clemenz < Manfred < Univ.-Prof. Dr. < ,Bitte manuell einfügen
785,Glatzer < Wolfgang < Univ.-Prof. Dr. < ,Institut für Soziologie
786,Kahsnitz < Dietmar < Univ.-Prof. Dr. < ,Institut für Soziologie
787,Krell < Gert < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
788,Nonnenmacher < Frank < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
789,Puhle < Hans-Jürgen < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
790,Ritsert < Jürgen < Univ.-Prof. Dr. < ,Institut für Soziologie
791,Rodenstein < Marianne < Univ.-Prof'in Dr. < ,Bitte manuell einfügen
792,Rottleuthner-Lutter < Margret < Univ.-Prof'in Dr. < ,Institut für Soziologie
793,Schmid < Alfons <  < Prof. Dr.,Research Support
794,Shell < Kurt < Univ.-Prof. Dr. < ,Zentrum für Nordamerika-Forschung (ZENAF)
795,Siegel < Tilla < Univ.-Prof'in Dr. < ,Institut für Soziologie
796, <  <  < ,Bitte manuell einfügen
797,Guérot < Ulrike < Univ.-Prof'in Dr. < ,Bitte manuell einfügen
798,Lapping < Claudia < Dr. < ,Bitte manuell einfügen
799,Lessenich < Stephan < Univ.-Prof. Dr. < ,Institut für Politikwissenschaft
800,Lettow < Susanne < Prof'in. Dr. < ,Institut für Soziologie
801,Loick < Daniel < Dr. < ,Bitte manuell einfügen
802,Mama < Amina < Prof'in. Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
803,Mohanty < Chandra Talpade < Prof'in. Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
804,Stojanović < Nenad < Univ.-Prof. Dr. < ,Dekanat FB 03
805,Vogelmann < Frieder < Dr. < ,Institut für Soziologie
806,Voswinkel < Stephan < Prof. Dr. < ,Institut für Soziologie
807,Demirovic < Alex < Apl. Prof. Dr. < ,Institut für Politikwissenschaft
808,Inowlocki < Lena < Apl. Prof. Dr. < ,Institut für Soziologie
809,König < Hans-Dieter < Apl. Prof. Dr. < ,Institut für Soziologie
810,Ley < Thomas < Apl. Prof. Dr. < ,Institut für Soziologie
811,Preyer < Gerhard < Apl. Prof. Dr. < ,Institut für Soziologie
812,Wirth < Hans-Jürgen < Apl. Prof. Dr. < ,Institut für Soziologie
813,Schneider < Norbert < Prof. Dr. < ,Bitte manuell einfügen
814,Beste < Hubert < Priv. Doz. Dr. < ,Institut für Soziologie
815,Bohler < Karl Friedrich < Priv. Doz. Dr. < ,Institut für Soziologie
816,D'Avis < Winfried < Priv. Doz. Dr. < ,Bitte manuell einfügen
817,Franzmann < Andreas < Priv. Doz. Dr. < ,Institut für Soziologie
818,Hummel < Diana < Apl. Prof. Dr. < ,Institut für Soziologie
819,Kleiner < Tuuli-Marja < Priv. Doz. Dr. < ,Bitte manuell einfügen
820, <  <  < ,Bitte manuell einfügen
821,Peter < Jürgen < Priv. Doz. Dr. Dr. < ,Institut für Soziologie
822,Resch < Christine < Priv. Doz. Dr. < ,Institut für Soziologie
823,Schrödter < Wolfgang < Priv. Doz. Dr. < ,Institut für Soziologie
824,Stegbauer < Christian < Apl. Prof. Dr. < ,Institut für Soziologie
825,Stumberger < Rudolf < Priv. Doz. Dr. < ,Institut für Soziologie
826,Werkner < Ines-Jacqueline < Priv. Doz. Dr. < ,Institut für Politikwissenschaft
827,Zehentreiter < Ferdinand < Priv. Doz. Dr. < ,Institut für Soziologie
828,Sparsam < Jan < Dr. < ehemaliger Mitarbeiter,Institut für Soziologie
829,Gostmann < Peter < Apl. Prof. Dr. < ,Institut für Soziologie
830,Krömmelbein < Silvia < Dr. habil. < akad. Oberrätin,Institut für Soziologie
831,Tiemann < Rainer < Dr. < ,Bitte manuell einfügen
832,Tschirner < Martina < Dr. < ,Institut für Politikwissenschaft
833,Breidenich < Tina <  < ,Institut für Soziologie
834,Düssel < Christina <  < ,Institut für Politikwissenschaft
835,Jobst < Michael <  < ,Institut für Soziologie
836,Jovicic < Timo <  < ,Institut für Soziologie
837,Jung < Matthias < Priv. Doz. Dr. < ,Institut für Soziologie
838,Mrkanovic < Adnan <  < ,Institut für Soziologie
839,Prasch < Annette <  < ,Institut für Politikwissenschaft
840,Schwarzlose < Jonas <  < ,Institut für Politikwissenschaft
841,Sossenheimer (ehemals Wandjo) < Sabine <  < ,Institut für Soziologie
842,Ullrich < Anke <  < ,Institut für Sonderpädagogik (WE IV)
843,Wiemann < Inga <  < ,Institut für Soziologie
844,Vesper < Achim < Dr. < ,Institut für Philosophie
845,Abay Gaspar < Hande <  < ,Exzellenzcluster
846,Ahmad < Aisha-Nusrat <  < M.A.,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
847,Ahmad < Zubair <  < M.A.,Bitte manuell einfügen
848,Amelang < Katrin < Dr. < ,Bitte manuell einfügen
849,Anderl < Felix <  < M.A.,Exzellenzcluster
850,Bader < Julia <  < ,Institut für Soziologie
851,Barboza < Amalia < Dr. < ,Bitte manuell einfügen
852,Barla < Josef < Dr. < ,Institut für Soziologie
853,Bartsch < Jens <  < ,Institut für Politikwissenschaft
854,Bassiouni < Mahmoud < Dr. < ,Institut für Politikwissenschaft
855,Bauer < Sophie <  < ,Institut für Soziologie
856,Becker < Carlos <  < MA,Institut für Politikwissenschaft
857,Becker (FB 03) < Maximilian <  < M.A.,Institut für Soziologie
858,Bender < Benedikt < Dr. < ,Institut für Politikwissenschaft
859,Berz < Jan < Dr. < ,Institut für Politikwissenschaft
860,Bestian < Christoph <  < ,Dekanat FB 02
861,Bethke < Felix < Dr. < ,Institut für Politikwissenschaft
862,Biba < Sebastian <  < Dr.,Institut für Politikwissenschaft
863,Bieber (ehemalige Mitarbeiterin) < Ina < Dr. < ,Institut für Soziologie
864,Bienstman < Simon <  < ,Institut für Soziologie
865,Bogner < Ole <  < M.A.,Institut für Soziologie
866,Branković < Slađana <  < M.A.,Institut für Soziologie
867,Braun < Veit < Dr. < ,Institut für Soziologie
868,Brenner < Lukas <  < M.A.,Institut für Politikwissenschaft
869,Brockmann < Felix <  < ,Institut für Soziologie
870,Brülle < Jan < Dr. < ,Institut für Soziologie
871,Buchler < Sandra < Dr. < ,Institut für Soziologie
872,Buddeberg < Eva < Dr. < ,Institut für Politikwissenschaft
873,Cárdenas Alfonso < María <  < ,Institut für Soziologie
874,Christian < Ben < Dr. < ,Institut für Politikwissenschaft
875, <  <  < ,Bitte manuell einfügen
876,Czymara < Christian < Dr. < ,Institut für Soziologie
877,Dannemann < Hauke <  < ,Institut für Soziologie
878,Dany < Charlotte < Dr. < ,Institut für Politikwissenschaft
879,Danyi < Endre < Dr. < ,Institut für Soziologie
880,Daphi < Priska < Dr. < ,Institut für Politikwissenschaft
881,Dean < Rikki < Dr. < ,Institut für Politikwissenschaft
882,Diaz Garcia < Manuel <  < M.A.,Institut für Politikwissenschaft
883,Dieterich < Lilith <  < ,Institut für Soziologie
884,Dietz < Melanie <  < ,Institut für Soziologie
885,Dinnin < Alec < Dr. < ,Institut für Politikwissenschaft
886,Efthymiou < Dimitrios < Dr. < ,Institut für Politikwissenschaft
887,Ehmes < Sven <  < ,Institut für Soziologie
888,Ellwanger < Daniel < Dr. < ,Institut für Soziologie
889,El-Menshawy < Nahla <  < ,Institut für Politikwissenschaft
890,Erbentraut < Philipp < Dr. < ,Institut für Politikwissenschaft
891,Feith < Dominik <  < ,Bitte manuell einfügen
892,Feldhausen < Miriam <  < ,Institut für Soziologie
893,Fielitz < Maik <  < M.A.,Institut für Politikwissenschaft
894,Fingarova < Jana <  < ,Bitte manuell einfügen
895,Flick < Sabine < Dr. < ,Institut für Soziologie
896,Folkers < Andreas < Dr. < ,Institut für Soziologie
897,Fromm < Moritz <  < MA,Institut für Politikwissenschaft
898,Geffen < Rona < Dr. < ,Institut für Soziologie
899,Geloneck < Patrik <  < M.Ed.,Institut für Politikwissenschaft
900,Gereke < Marika <  < M.A,Institut für Politikwissenschaft
901,Gerlach < Anna <  < ,Institut für Soziologie
902,Geyer < Anna Luisa <  < ,Institut für Politikwissenschaft
903,Giustozzi < Carlotta <  < ,Institut für Soziologie
904,González Bello < Gabriel <  < ,Institut für Politikwissenschaft
905,Grass < Helena Esther <  < ,Institut für Politikwissenschaft
906,Greinert < Alexander <  < ,Bitte manuell einfügen
907,Gruhler < Jonathan < Dr. < ,Institut für Soziologie
908,Grunicke (vorm. Simon) < Malte <  < M.A.,Institut für Soziologie
909,Guasti < Petra < Dr. < ,Institut für Politikwissenschaft
910,Haidvogl < Andreas < Dr. < ,Institut für Politikwissenschaft
911,Hanemann < Laura < Dr. < ,Institut für Soziologie
912,Härpfer < Claudius < Dr. < ,Institut für Soziologie
913,Hauff < Martin <  < Dr.,Institut für Soziologie
914,Helm < Paula < Dr. < ,Institut für Politikwissenschaft
915,Helms < Pauline <  < ,Institut für Politikwissenschaft
916,Hengsbach < David <  < M.A.,Institut für Soziologie
917,Hoffeller < Lucca <  < M.A.,Institut für Politikwissenschaft
918,Hoherz < Stefanie <  < ,Institut für Soziologie
919,Höhne < Franziska <  < ,Institut für Politikwissenschaft
920,Hoppe < Katharina < Dr. < ,Institut für Soziologie
921,Hsiung < Constance <  < Ph.D.,Institut für Soziologie
922,Hubert < Florian <  < ,Institut für Politikwissenschaft
923,Hümmler < Lilian <  < ,Institut für Soziologie
924,Ignácz Sulykosné < Zsófia <  < PhD,Institut für Soziologie
925,Jacobi < Daniel < Dr. < ,Institut für Politikwissenschaft
926,Jaspert < Robin <  < M.A.,Institut für Politikwissenschaft
927,Keil < Daniel < Dr. < ,Institut für Soziologie
928,Kempf < Victor <  < Dipl.-Soz.,Institut für Politikwissenschaft
929,Klingenberg < Darja < Dr. < ,Institut für Soziologie
930,Kluzik < Vicky <  < ,Institut für Soziologie
931,Kollar < Eszter < Dr. < ,Institut für Politikwissenschaft
932,Komar < Olivera <  < PhD,Institut für Soziologie
933,Koolwaay < Jens < Dr. < ,Bitte manuell einfügen
934,Kortendiek < Nele < Dr. < M.A.,Institut für Politikwissenschaft
935,Kouassi < Stephane <  < M.A.,Institut für Soziologie
936,Krämling < Anna <  < ,Institut für Politikwissenschaft
937,Kroll < Stefan < Dr. < ,Institut für Politikwissenschaft
938,Kühner < Angela < Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
939,Kuru < Deniz < Dr. < ,Institut für Politikwissenschaft
940,Kutzner < Maximilian <  < ,Institut für Politikwissenschaft
941,Lang < Antonia <  < ,Institut für Soziologie
942,Langenkamp < Alexander < Dr. < ,Institut für Soziologie
943,Leinius < Johanna < Dr. < M.Soc.Sci,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
944,Leitgöb < Heinz < Dr. < ,Institut für Soziologie
945,Liegl < Markus <  < ,Institut für Politikwissenschaft
946,Lindemann < Kristina < Dr. < ,Institut für Soziologie
947,List < Heike <  < M.A.,Exzellenzcluster
948,Maags < Christina < Dr. < ,Institut für Politikwissenschaft
949,Maerz < Seraphine Franziska < Dr. < ,Institut für Politikwissenschaft
950,Makait < Felicitas <  < M.A.,Institut für Soziologie
951,Manstetten < Ruth <  < M.A.,Institut für Soziologie
952,Marcks < Holger <  < M.A.,Institut für Politikwissenschaft
953,Marx < Alan <  < ,Institut für Politikwissenschaft
954,Masella < Marvin <  < M.A.,Institut für Politikwissenschaft
955,May < Christian < Dr. < ,Institut für Politikwissenschaft
956,Meitzler < Matthias <  < M.A.,Bitte manuell einfügen
957,Moreno < Guadalupe < Dr. < ,Exzellenzcluster
958,Mühlbacher < Sarah < Dr. < ,Institut für Soziologie
959,N.N. < F. <  < ,Institut für Politikwissenschaft
960,Nobrega < Onur Suzan < Dr. < ,Institut für Soziologie
961,Oellers < Viktoria <  < ,Bitte manuell einfügen
962,Palenga-Möllenbeck < Ewa < Dr. < ,Cornelia Goethe Centrum für Frauenstudien und die Erforschung der Geschlechterverhältnisse (CGC)
963,Paquin < Johanna <  < M.A.,Institut für Soziologie
964,Passaro < Alexander <  < ,Institut für Politikwissenschaft
965,Paulus < Lars <  < ,Institut für Politikwissenschaft
966,Peez < Anton < Dr. < ,Institut für Politikwissenschaft
967,Peltner < Anne <  < M. A.,Institut für Politikwissenschaft
968,Perkola < Bonald <  < ,Institut für Politikwissenschaft
969,Peters < Tilman <  < Dipl.-Pol.,Institut für Politikwissenschaft
970,Petry < Johannes < Dr. < Ph.D,Institut für Politikwissenschaft
971,Pfister < Jannik <  < M.A.,Institut für Politikwissenschaft
972,R. < Fabian <  < M.A.,Exzellenzcluster
973, <  <  < ,Bitte manuell einfügen
974,Reale < Filippo < Dr. < M.A.,Institut für Soziologie
975,Reglitz < Merten < Dr. < ,Institut für Politikwissenschaft
976,Reus < Iris < Dr. < ,Institut für Politikwissenschaft
977,Richterich < Nils <  < M.A.,Institut für Soziologie
978,Rinne < Jonathan <  < ,Institut für Politikwissenschaft
979,Roßmeißl < Felix <  < ,Institut für Soziologie
980,Rudolfi < Markus <  < ,Institut für Soziologie
981,Rüppel < Jonas < Dr. < ,Institut für Soziologie
982,Sandelbaum < Sarah <  < ,Institut für Soziologie
983,Sartorius < Nils G. <  < M.A.,Institut für Politikwissenschaft
984,Sauter < Aurora <  < ,Institut für Soziologie
985,Schäfferle < Eva-Maria <  < ,Institut für Politikwissenschaft
986,Schedelik < Michael < Dr. < ,Institut für Politikwissenschaft
987,Scherer < Philipp <  < ,Institut für Soziologie
988,Schmeinck < Jonas <  < ,Institut für Soziologie
989,Schmid < Lukas <  < ,Institut für Politikwissenschaft
990,Schmitz < Luki <  < ,Institut für Soziologie
991,Schneider < Lina <  < ,Institut für Politikwissenschaft
992,Schreiber < Melanie <  < ,Personalrat
993,Schreiber < Julia <  < Dr.,Institut für Soziologie
994,Schuchmann < Swana <  < M.A.,Institut für Soziologie
995,Schultz < Susanne < Dr. habil. < ,Institut für Soziologie
996,Seitz < Tim <  < ,Institut für Soziologie
997,Siderius < Katrijn <  < ,Institut für Politikwissenschaft
998,Siemer < Denise <  < ,Institut für Politikwissenschaft
999,Sinzig < Paul <  < M.A.,Institut für Soziologie
