,Person,Institut
69,García-Salmones Rovira < Mónica < Prof'in. < ,Bitte manuell einfügen
70,Gruber < Stefan < Prof. < Dr.,Bitte manuell einfügen
71,Oquendo < Angel R. < Prof. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
72,Adolff < Johannes < Apl. Prof. Dr. < ,Bitte manuell einfügen
73,Becker < Martin < Apl. Prof. Dr. < ,Bitte manuell einfügen
74,Brinkmann < Tomas < Apl. Prof. Dr. < ,Bitte manuell einfügen
75,Dallmeyer < Jens < Apl. Prof. Dr. < ,Bitte manuell einfügen
76,Fischer < Nikolaj < Apl. Prof. Dr. < ,Bitte manuell einfügen
77,Rzepka < Dorothea < Prof'in. Dr. < ,Bitte manuell einfügen
78,Salgo < Ludwig < Apl. Prof. Dr. < ,Institut für Sozialpädagogik und Erwachsenenbildung (WE V)
79,Scherer < Joachim < Apl. Prof. Dr. < ,Bitte manuell einfügen
80,Schmidt < Marlene < Apl. Prof. Dr. < ,Bitte manuell einfügen
81,Schulz < Lorenz < Apl. Prof. Dr. < ,Bitte manuell einfügen
82,Auer < Marietta < Hon. Prof. Dr. < ,Angeschlossene und kooperierende Institute
83,Berg < Klaus < Hon. Prof. Dr. < ,Bitte manuell einfügen
84,Decher < Christian < Hon. Prof. Dr. < ,Angeschlossene und kooperierende Institute
85,Döser < Wulf Henrich < Hon. Prof. Dr. < ,Bitte manuell einfügen
86,Fahrholz < Bernd < Hon. Prof. Dr. < ,Bitte manuell einfügen
87,Freise < Rainer < Hon. Prof. Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
88,Gabriel < Marc < Hon. Prof. Dr. < LL.M. (NTU UK),Institut für Öffentliches Recht
89,Geiger < Hansjörg < Hon. Prof. Dr. < ,Bitte manuell einfügen
90,Götz < Jürgen < Hon. Prof. Dr. < ,Bitte manuell einfügen
91,Hamm < Rainer < Hon. Prof. Dr. < ,Bitte manuell einfügen
92,Kirsch (FB 01) < Stefan < Hon. Prof. Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
93,Krehl < Christoph < Hon. Prof. Dr. < ,Bitte manuell einfügen
94,Mahrenholz < Ernst Gottfried < Hon. Prof. Dr. < ,Bitte manuell einfügen
95,Matt < Holger < Hon. Prof. Dr. < ,Bitte manuell einfügen
96,Mees < Hans-Kurt < Hon. Prof. Dr. < ,Bitte manuell einfügen
97,Moench < Christoph < Hon. Prof. Dr. < ,Bitte manuell einfügen
98,Reusch < Peter < Hon. Prof. Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
99,Rottleuthner < Hubert < Hon. Prof. Dr. < Prof. em. Dr. phil,Bitte manuell einfügen
100,Ruland < Franz < Hon. Prof. Dr. < ,Bitte manuell einfügen
101,Salger < Hanns-Christian < Hon. Prof. Dr. < ,Institut für Internationales und Europäisches Privatrecht und Rechtsvergleichung
102,Seibert < Thomas-Michael < Hon. Prof. Dr. < ,Bitte manuell einfügen
103,Shachar < Ayelet < Hon. Prof. Dr. < ,Bitte manuell einfügen
104,Steinberg < Rudolf < Prof. Dr. < ,Bitte manuell einfügen
105,Steinbrück Platise < Mateja < Dr. < ,Institut für Öffentliches Recht
106,Taschke < Jürgen < Hon. Prof. Dr. < ,Bitte manuell einfügen
107,Trittmann < Rolf < Hon. Prof. Dr. < ,Zentrum für Schlüsselqualifikationen
108,Vogenauer < Stefan <  < Hon.Prof.,Bitte manuell einfügen
109,von Bogdandy < Armin < Hon. Prof. Dr. < ,Exzellenzcluster
110,von Hirsch < Andreas < Hon. Prof. Dr. < ,Angeschlossene und kooperierende Institute
111,Weber < Hermann < Hon. Prof. Dr. < ,Bitte manuell einfügen
112,Wenner < Ulrich < Hon. Prof. Dr. < ,Institut für Öffentliches Recht
113,Wrabetz < Wolfram < Hon. Prof. Dr. < ,Bitte manuell einfügen
114,Zilioli < Chiara < Hon. Prof. Dr. < ,Bitte manuell einfügen
115,Birr < Christiane < Priv. Doz. Dr. < ,Bitte manuell einfügen
116,Collin < Peter < Priv. Doz. Dr. < ,Bitte manuell einfügen
117,Engelhart < Marc < Priv. Doz. Dr. < ,Institutsübergreifende Einrichtungen des FB 01
118,Finger < Peter < Priv. Doz. Dr. < ,Bitte manuell einfügen
119,Finke < Jasper < Priv. Doz. Dr. < ,Bitte manuell einfügen
120,Gal < Jens < Dr. < PD,Bitte manuell einfügen
121,Henne < Thomas < Prof. Dr. < ,Bitte manuell einfügen
122,Hohmann < Harald < Priv. Doz. Dr. < ,Bitte manuell einfügen
123,Krahl < Matthias < Priv. Doz. Dr. < ,Bitte manuell einfügen
124,Langer < Vera < Priv. Doz. Dr. < ,Institut für Rechtsgeschichte
125,Pierson < Thomas < Priv. Doz. Dr. < ,Institut für Rechtsgeschichte
126,Pöcker < Markus < Priv. Doz. Dr. < ,Bitte manuell einfügen
127,Redenius-Hövermann < Julia < Priv. Doz. Dr. < ,Bitte manuell einfügen
128,Rüpke < Giselher < Priv. Doz. Dr. < ,Bitte manuell einfügen
129,Ruppert < Stefan < Priv. Doz. Dr. < ,Bitte manuell einfügen
130,Steinhauer < Fabian < Priv. Doz. Dr. Dr. < ,"Institut für Theater-, Film- und Medienwissenschaft"
131,Ziemann < Sascha < Priv. Doz. Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
132,zu Hohenlohe-Oehringen < Diana < Priv. Doz. Dr. < ,Bitte manuell einfügen
133,Akbarian < Samira < Dr. < ,Institut für Öffentliches Recht
134,Bakirtzi < Effrosyni <  < ,Institut für Zivil- und Wirtschaftsrecht
135,Bayer < Daria < Dr. < ,Institut für Kriminalwissenschaft und Rechtsphilosophie
136,Bretthauer < Sebastian < Dr. < ,Institut für Öffentliches Recht
137,Breustedt < Sonja < Dr. < ,Institut für Rechtsgeschichte
