,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Mach Dich auf! Semesteranfangsgottesdienst der Evangelischen Studierendengemeinde (ESG),"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 6 - Evangelische Theologie']",['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Öffentliche Veranstaltung,,SoSe 2022,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=343922&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Aufbrechen! Ökumenische Osterfeier,"['Weitere Studienangebote', 'Lehrveranstaltungen des Fachbereichs 6 - Evangelische Theologie']",['Evangelische Studierendengemeinde (ESG) im SIOLI 7'],[],[],Öffentliche Veranstaltung,,SoSe 2022,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=343921&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Theorie und Praxis des Sports mit Älteren,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Sedlak< Duro', '']]",Kurs/Workshop,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330291&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Sturzprävention im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330289&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Kognition und Sport im Alter,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Kurs/Workshop,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330287&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Projektgruppe Südosteuropa: „Brücke der Freundschaft – Brücke des Wissens“,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Projekt,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330380&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Projektgruppe Enigma: Der digitale Wandel – Technische und gesellschaftliche Entwicklungen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330395&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,"Projektgruppe ""Debattieren an der U3L""",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330401&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,Identität und autobiografisches Schreiben (Teil II),['Weitere Studienangebote'],"['Universität des 3. Lebensalters e.V. (U3L)', 'Hörsaalverwaltung Bockenheim']",[],"[['Fichtenkamm-Barde< Rosmarie', '']]",Projekt,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330389&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,"Diskussionsgruppe ""Die Zukunft unserer Gesellschaft""",['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],[],Arbeitsgemeinschaft,.,SoSe 2022,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=330420&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
