,Kursname,Fachbereich,Zugeordnete Einrichtungen,verantwortliche Lehrpersonen,Lehrpersonen,Veranstaltungsart,Kürzel,Semester,SWS,Credits,Link
0,Zu den Audioguides,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2021/22,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328770&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
1,Wie finde ich Literatur zum Fach...??,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2021/22,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328771&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
2,Virtuelle Fachbibliothek,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2021/22,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328772&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
3,Einstieg in die Recherche,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2021/22,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328773&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
4,Datenbanken,['Weitere Studienangebote'],['Universitätsbibliothek Johann Christian Senckenberg'],[],[],Anleitung zum wiss. Arbeiten,,WiSe 2021/22,,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=328774&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
5,Wie hat Corona unsere Gesellschaft verändert?,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Baier< Ulrich < M. A.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320574&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
6,Unsere Sinne- Emotionen und das Unbewusste – soziologische Reflexionen,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Baier< Ulrich < M. A.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320570&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
7,Projektseminar ÜberlebensKunst,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Bußmann< Kerstin< Dr.', ''], ['Wehrs< Elke< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=325825&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
8,[Präsenzveranstaltung entfällt] Patagonien: Das Ende der Welt,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Garcia Simon< Diana< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320504&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
9,Optionen für den Kampf gegen die Klimaerwärmung,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Schroeder< Manfred< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=321722&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
10,Öko-Theologie,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Heimbrock< Hans-Günter< Prof. Dr.', '']]",Vorlesung,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320743&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
11,Natur des Menschen – Kultur der Angst? Darstellung des „Schrecklichen“ in Literatur- Bühnenwerk und Film,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Alsleben-Baumann< Claudia< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320562&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
12,Mensch und Mee/hr – Kreuzfahrttourismus,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wehrs< Elke< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320506&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
13,Kreativität- Weisheit- Dankbarkeit. Philosophische Einsichten zum Älterwerden,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Prömper< Hans< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320779&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
14,Kolloquium zum Strukturierten Studiengang,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Wagner< Elisabeth< Dr.', '']]",Kolloquium,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=321777&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
15,Intelligenz – Modelle- Messung- Entwicklung sowie Determinanten,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[[""Knopf< Monika< Prof'in. Dr."", '']]",Vorlesung,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320685&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
16,Grundlagen des wissenschaftlichen Arbeitens,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Müller< Helmut-Gerhard', '']]",Anleitung zum wiss. Arbeiten,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320719&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
17,Grundlagen der Tierethik,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Romanus< Eckhard< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320580&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
18,Gedächtnistraining- Merktechniken- Lern-Methoden,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Müller< Helmut-Gerhard', '']]",Seminar mit Übung,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320687&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
19,Fürsorgliche Männlichkeiten. Haltungen und biografische Erfahrungen. Forschungsseminar.,['Weitere Studienangebote'],['Universität des 3. Lebensalters e.V. (U3L)'],[],"[['Prömper< Hans< Dr.', '']]",Seminar,,WiSe 2021/22,2,,https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=320774&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
